Word,Valence,Arousal,Dominance,VD_PC1,plutchik_label,insideout2_label
aardvark,6.26,2.41,4.27,-0.025953806070274945,sadness,ennui
abalone,5.3,2.65,4.95,-0.045950107335369195,sadness,ennui
abandon,2.84,3.73,3.32,-2.6388550858115183,sadness,sadness
abandonment,2.63,4.95,2.64,-3.267811758050959,fear,anxiety
abbey,5.85,2.2,5.0,0.29679545726355744,sadness,ennui
abdomen,5.43,3.68,5.15,0.17688458255231282,anticipation,ennui
abdominal,4.48,3.5,5.32,-0.22192356215560202,disgust,ennui
abduct,2.42,5.9,2.75,-3.301389654716603,fear,embarrassment
abduction,2.05,5.33,3.02,-3.3031302140064582,fear,embarrassment
abide,5.52,3.26,5.33,0.36245996560112165,anticipation,ennui
abiding,5.57,3.59,6.6,1.3473209036932285,trust,ennui
ability,7.0,4.85,6.55,2.1028034481019784,trust,joy
abject,4.0,3.94,4.35,-1.2191953786130545,disgust,ennui
ablaze,5.15,6.75,4.58,-0.4079974937966741,anger,envy
able,6.64,3.38,6.17,1.616740882609389,trust,ennui
abnormal,3.53,4.48,4.7,-1.216110482437315,disgust,disgust
abnormality,3.05,5.0,3.96,-2.040044174360623,disgust,disgust
abode,5.28,2.9,5.05,0.01832108141369775,disgust,ennui
abolish,3.84,4.18,4.65,-1.081847878477352,disgust,disgust
abominable,4.05,5.45,4.62,-0.9879784602346147,disgust,disgust
abomination,2.5,5.9,3.8,-2.4656905811280536,fear,fear
abort,3.1,5.8,3.38,-2.4494246727388007,fear,fear
abortion,2.58,5.43,4.73,-1.7204287899051434,anger,anger
abracadabra,5.11,5.27,4.96,-0.14379919275008016,anticipation,disgust
abrasive,4.26,6.1,4.94,-0.6303336350920934,anger,envy
abreast,4.62,4.61,5.19,-0.2422447921622806,anticipation,disgust
abrupt,3.28,5.23,3.75,-2.0707374664440463,disgust,disgust
abscess,2.79,4.0,3.95,-2.1917923864476565,sadness,anxiety
absence,3.86,4.3,4.24,-1.3797487133376558,disgust,disgust
absent,4.1,3.72,4.21,-1.269239475261469,disgust,ennui
absinthe,3.53,3.7,3.95,-1.7813434972225657,sadness,ennui
absolute,5.43,3.48,5.58,0.5009515110291896,anticipation,ennui
absolution,6.58,3.38,5.75,1.2669307546627493,trust,ennui
absolve,4.58,3.53,4.82,-0.5432795059009372,disgust,ennui
absorb,5.5,4.27,5.62,0.5699235180957857,anticipation,ennui
abstain,4.4,3.1,6.08,0.306473039937586,anticipation,ennui
abstinence,3.43,3.15,5.64,-0.5631511700179667,sadness,ennui
abstract,5.25,3.96,5.53,0.3634303910428087,anticipation,ennui
absurd,4.45,4.02,5.06,-0.43451082711460587,disgust,ennui
absurdity,4.06,4.7,5.37,-0.41719883883821424,disgust,disgust
abundance,6.67,4.72,5.66,1.2490222523888683,anticipation,joy
abundant,7.55,4.21,5.81,1.8501702371271076,trust,joy
abuse,1.53,6.21,2.9,-3.6819910401518925,fear,embarrassment
abusive,2.05,5.27,3.58,-2.881089562966805,fear,embarrassment
abysmal,3.45,3.91,3.76,-1.9689087138573615,sadness,sadness
abyss,3.9,4.85,4.0,-1.5384368516243367,disgust,disgust
academic,6.61,3.32,6.21,1.6302468235644862,trust,ennui
academy,5.32,3.77,5.38,0.2892100343638076,anticipation,ennui
accelerant,4.59,4.81,6.04,0.38171280476088676,anticipation,disgust
accelerate,6.1,6.04,6.15,1.3021512452130224,surprise,joy
accelerated,6.21,4.75,6.29,1.4686740806955842,trust,joy
acceleration,6.19,6.73,5.76,1.0581495370250409,surprise,envy
accelerator,5.63,5.0,6.65,1.418282744345812,anticipation,joy
accent,6.48,4.95,5.36,0.9175435208629208,anticipation,disgust
accept,6.39,2.8,5.94,1.3047375927964988,trust,ennui
acceptable,6.59,3.65,6.58,1.8980018976362434,trust,joy
acceptance,6.84,4.3,6.49,1.9688391011407604,trust,joy
access,6.68,5.3,6.89,2.181551003247829,joy,joy
accessible,6.68,3.2,6.58,1.947921357136592,trust,joy
accessory,5.35,4.22,5.83,0.6449896630684074,anticipation,ennui
accident,2.55,4.93,3.0,-3.040872763843238,fear,anxiety
accidental,3.46,4.0,3.41,-2.227137514145995,sadness,anxiety
acclaim,6.1,3.95,5.77,1.015766517721828,trust,ennui
accommodate,6.35,3.0,6.27,1.5312536928574088,trust,ennui
accommodation,6.76,4.72,6.0,1.5551806785918643,trust,joy
accompany,5.47,3.85,5.63,0.5608201384594723,anticipation,ennui
accomplice,4.6,4.5,5.2,-0.24580156518744414,anticipation,disgust
accomplish,7.45,5.16,7.27,2.895024439797564,joy,joy
accomplishment,8.05,4.96,6.5,2.6475149412870334,trust,joy
accord,6.38,2.85,5.64,1.073097780271248,trust,ennui
accordion,5.26,2.94,5.21,0.12781091134558464,anticipation,ennui
account,5.39,3.76,5.06,0.08687019433348264,anticipation,ennui
accountability,4.89,3.7,6.55,0.9324694531493531,trust,ennui
accountable,5.7,4.2,5.57,0.6431734493331001,anticipation,ennui
accountant,5.19,3.81,5.72,0.4733431151215061,anticipation,ennui
accounting,4.42,3.68,4.48,-0.8882641783819822,disgust,ennui
accumulate,6.33,2.73,6.15,1.4297231972694697,trust,ennui
accuracy,6.32,3.33,6.74,1.8688265622893836,trust,joy
accurate,7.42,4.35,6.47,2.27546940419318,trust,joy
accursed,3.21,5.33,4.13,-1.8231789852309017,disgust,disgust
accusation,3.38,5.48,3.62,-2.1132451228953237,anger,anger
accuse,2.68,5.32,4.0,-2.2151228581846216,fear,embarrassment
ace,6.37,4.64,6.61,1.7985858727823565,trust,joy
acetylene,4.11,3.67,4.7,-0.8944072989906215,disgust,ennui
ache,3.27,4.3,4.0,-1.8878730681267792,disgust,disgust
achieve,7.75,4.7,6.61,2.5640175851210403,trust,joy
achievement,7.28,5.57,7.17,2.725367725436649,joy,joy
achy,3.15,4.48,4.62,-1.487173055238104,disgust,disgust
acid,3.26,4.77,4.26,-1.6974722296123759,disgust,disgust
acknowledge,6.43,3.26,6.11,1.4550435025924215,trust,ennui
acknowledgement,6.53,3.3,6.71,1.9626959805321211,trust,joy
acne,2.18,4.47,3.44,-2.9144938397817697,fear,anxiety
acorn,5.85,4.42,4.77,0.12345733272941353,anticipation,disgust
acoustic,7.1,4.0,5.79,1.58550005923109,trust,joy
acoustics,6.33,3.19,5.86,1.2111664315525061,trust,ennui
acquaintance,5.58,3.24,5.29,0.36559384447947446,anticipation,ennui
acquire,5.5,4.86,7.0,1.6099522653006466,trust,joy
acquisition,5.0,4.36,5.93,0.5262228336495283,anticipation,ennui
acquit,5.6,4.56,5.45,0.4972701008559609,anticipation,disgust
acquittal,6.19,4.95,5.03,0.507989402634064,anticipation,disgust
acre,5.53,2.73,4.94,0.0740854045239418,sadness,ennui
acreage,5.25,3.74,5.52,0.35589395084567155,anticipation,ennui
acrobat,6.0,4.9,5.42,0.6965250447105461,anticipation,disgust
acrylic,5.52,3.73,5.42,0.43028792737535165,anticipation,ennui
act,5.64,4.19,6.11,1.016861580311581,anticipation,ennui
action,6.0,6.19,6.17,1.261758059495797,surprise,joy
action figure,6.18,4.65,6.71,1.768564749141875,trust,joy
activate,5.7,3.78,6.28,1.178260703329804,trust,ennui
activation,6.14,3.52,6.88,1.8744978060485986,trust,joy
active,6.47,5.62,6.32,1.6354951731768914,surprise,joy
activist,6.24,5.26,5.86,1.1612469720521574,anticipation,joy
activity,6.21,4.86,6.45,1.589257123849771,trust,joy
actor,6.15,4.35,5.64,0.945525828214801,anticipation,ennui
actress,5.42,5.43,4.65,-0.20548403391567066,anticipation,disgust
actual,6.22,2.75,5.54,0.9089876725214834,trust,ennui
actuality,5.4,5.55,5.24,0.2280727244930935,anticipation,disgust
acupuncture,4.81,4.9,4.77,-0.453389754830174,disgust,disgust
acute,5.1,5.09,5.11,-0.036299196404180015,anticipation,disgust
ad,4.11,3.33,5.18,-0.5326581695280616,disgust,ennui
adage,5.55,3.38,5.13,0.22837098149183774,anticipation,ennui
adamant,5.45,5.74,6.38,1.1149599400224235,anticipation,joy
adapt,5.84,3.9,5.75,0.8564818654376583,anticipation,ennui
adaptation,5.82,3.55,6.04,1.0639454179323222,trust,ennui
add,6.23,4.0,6.79,1.856589303774718,trust,joy
adder,4.45,3.24,4.41,-0.9243794399284895,sadness,ennui
addict,2.86,5.33,2.74,-3.064875404023145,fear,embarrassment
addicted,2.89,4.77,2.84,-2.972871182218329,fear,anxiety
addiction,3.52,4.48,3.84,-1.869790946002219,disgust,disgust
addictive,3.52,4.82,4.4,-1.447750294962565,disgust,disgust
additional,6.15,3.61,4.95,0.42551145461237094,anticipation,ennui
address,6.11,3.05,4.89,0.35810638698495106,anticipation,ennui
adept,6.14,4.17,6.5,1.5881130785574051,trust,joy
adequate,4.7,3.64,6.89,1.0833228942401525,trust,ennui
adhere,5.17,3.52,3.9,-0.9093822139796687,disgust,ennui
adhesive,5.84,3.2,4.88,0.20081156828676744,anticipation,ennui
Adidas,5.77,4.18,6.3,1.232159830002126,trust,ennui
adjacent,5.15,2.78,4.27,-0.6416271399079114,sadness,ennui
adjective,5.95,3.64,6.11,1.1888063852572277,trust,ennui
adjoining,5.06,3.52,4.65,-0.4051618719170665,disgust,ennui
adjourn,5.5,3.15,5.75,0.6678972406585624,trust,ennui
adjust,5.76,3.0,6.0,1.000520017476876,trust,ennui
adjuster,4.25,3.5,5.84,0.04239937603905722,anticipation,ennui
adjustment,5.53,4.59,4.53,-0.23490864355866195,anticipation,disgust
admin,4.37,3.64,5.83,0.1014222151757194,anticipation,ennui
administer,4.4,3.86,6.33,0.4948840448660028,anticipation,ennui
administration,4.45,3.23,4.77,-0.6530675928315695,disgust,ennui
administrative,4.79,3.21,5.9,0.38713477422397125,anticipation,ennui
administrator,5.32,4.74,5.48,0.3645744363351748,anticipation,disgust
admirable,7.0,4.57,5.81,1.5451068735138642,trust,joy
admiral,4.8,4.05,5.68,0.2268796964981137,anticipation,ennui
admiralty,6.16,4.27,6.08,1.2826758034999648,trust,joy
admiration,7.58,5.52,6.11,2.0929032628746587,joy,joy
admire,7.35,5.0,7.33,2.884777014868885,joy,joy
admired,7.25,5.95,6.94,2.535389781069056,joy,joy
admirer,7.05,6.0,6.27,1.9195161556379008,surprise,joy
admissible,5.16,2.9,6.21,0.8259888649477535,trust,ennui
admission,5.91,3.69,5.54,0.7370428675758374,anticipation,ennui
admit,5.56,3.35,4.56,-0.19565950313380318,disgust,ennui
admittance,6.29,3.6,5.96,1.264344407079273,trust,ennui
ado,4.82,3.33,4.48,-0.6663999139359867,disgust,ennui
adobe,5.25,3.89,5.55,0.37850327143708173,anticipation,ennui
adolescence,6.0,5.1,4.44,-0.042046094608847645,anticipation,disgust
adolescent,5.38,4.2,4.0,-0.7175390731741543,disgust,disgust
adopt,6.9,4.71,5.45,1.2183289603054457,anticipation,joy
adoption,6.68,4.82,5.62,1.2244230982114714,anticipation,joy
adoptive,5.67,4.4,5.59,0.6416065098939233,anticipation,ennui
adorable,7.4,4.66,6.83,2.535688038067801,trust,joy
adoration,6.47,4.36,6.54,1.801296857513898,trust,joy
