Word,Valence,Arousal,Dominance,P_2D_Polar,P_Euclidean,P_Cosine,P_2D_Euclidean,IO2_2D_Polar,IO2_Euclidean,IO2_Cosine,IO2_2D_Euclidean,Valence_Category
aardvark,6.26,2.41,4.27,anticipation,anticipation,trust,trust,anxiety,ennui,joy,ennui,Positive
abalone,5.3,2.65,4.95,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
abandon,2.84,3.73,3.32,disgust,sadness,disgust,sadness,disgust,sadness,disgust,sadness,Negative
abandonment,2.63,4.95,2.64,sadness,fear,fear,disgust,disgust,embarrassment,embarrassment,anxiety,Negative
abbey,5.85,2.2,5.0,anger,trust,trust,trust,anxiety,ennui,joy,ennui,Neutral
abdomen,5.43,3.68,5.15,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
abdominal,4.48,3.5,5.32,anger,disgust,trust,disgust,anger,ennui,ennui,ennui,Neutral
abduct,2.42,5.9,2.75,sadness,fear,fear,anger,sadness,embarrassment,fear,anger,Negative
abduction,2.05,5.33,3.02,sadness,fear,fear,anger,sadness,embarrassment,fear,anxiety,Negative
abide,5.52,3.26,5.33,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
abiding,5.57,3.59,6.6,anger,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
ability,7.0,4.85,6.55,joy,trust,joy,trust,joy,joy,joy,joy,Positive
abject,4.0,3.94,4.35,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
ablaze,5.15,6.75,4.58,fear,anticipation,anticipation,anticipation,fear,envy,embarrassment,envy,Neutral
able,6.64,3.38,6.17,anticipation,trust,trust,trust,ennui,joy,joy,ennui,Positive
abnormal,3.53,4.48,4.7,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
abnormality,3.05,5.0,3.96,sadness,disgust,disgust,disgust,disgust,anxiety,anxiety,disgust,Negative
abode,5.28,2.9,5.05,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
abolish,3.84,4.18,4.65,disgust,disgust,anticipation,disgust,disgust,ennui,sadness,ennui,Negative
abominable,4.05,5.45,4.62,surprise,disgust,disgust,disgust,sadness,disgust,disgust,disgust,Neutral
abomination,2.5,5.9,3.8,sadness,fear,fear,anger,sadness,fear,anxiety,anger,Negative
abort,3.1,5.8,3.38,surprise,fear,fear,fear,sadness,fear,embarrassment,fear,Negative
abortion,2.58,5.43,4.73,sadness,anger,anger,anger,sadness,anger,anger,embarrassment,Negative
abracadabra,5.11,5.27,4.96,fear,anticipation,anticipation,anticipation,fear,disgust,disgust,disgust,Neutral
abrasive,4.26,6.1,4.94,surprise,anticipation,disgust,anticipation,embarrassment,envy,disgust,envy,Neutral
abreast,4.62,4.61,5.19,disgust,anticipation,anticipation,anticipation,anger,disgust,ennui,disgust,Neutral
abrupt,3.28,5.23,3.75,sadness,fear,disgust,disgust,sadness,embarrassment,anxiety,disgust,Negative
abscess,2.79,4.0,3.95,disgust,sadness,disgust,disgust,disgust,anxiety,disgust,anxiety,Negative
absence,3.86,4.3,4.24,disgust,disgust,anticipation,disgust,disgust,disgust,disgust,disgust,Negative
absent,4.1,3.72,4.21,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
absinthe,3.53,3.7,3.95,disgust,sadness,anticipation,disgust,anger,ennui,ennui,ennui,Negative
absolute,5.43,3.48,5.58,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
absolution,6.58,3.38,5.75,anticipation,trust,trust,trust,ennui,ennui,joy,ennui,Positive
absolve,4.58,3.53,4.82,anger,disgust,trust,disgust,anger,ennui,ennui,ennui,Neutral
absorb,5.5,4.27,5.62,anticipation,anticipation,joy,anticipation,ennui,ennui,ennui,ennui,Neutral
abstain,4.4,3.1,6.08,anger,anticipation,trust,sadness,anger,ennui,ennui,ennui,Neutral
abstinence,3.43,3.15,5.64,disgust,disgust,sadness,sadness,anger,ennui,sadness,ennui,Negative
abstract,5.25,3.96,5.53,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
absurd,4.45,4.02,5.06,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
absurdity,4.06,4.7,5.37,sadness,disgust,sadness,disgust,disgust,disgust,sadness,disgust,Neutral
abundance,6.67,4.72,5.66,joy,trust,joy,trust,joy,joy,joy,joy,Positive
abundant,7.55,4.21,5.81,joy,trust,joy,trust,joy,joy,joy,joy,Positive
abuse,1.53,6.21,2.9,sadness,fear,fear,anger,sadness,embarrassment,fear,anger,Negative
abusive,2.05,5.27,3.58,sadness,fear,anger,anger,sadness,anxiety,envy,anxiety,Negative
abysmal,3.45,3.91,3.76,disgust,sadness,anticipation,disgust,disgust,ennui,disgust,ennui,Negative
abyss,3.9,4.85,4.0,sadness,disgust,anticipation,disgust,disgust,disgust,disgust,disgust,Negative
academic,6.61,3.32,6.21,anticipation,trust,trust,trust,ennui,joy,joy,ennui,Positive
academy,5.32,3.77,5.38,anger,anticipation,trust,anticipation,anxiety,ennui,ennui,ennui,Neutral
accelerant,4.59,4.81,6.04,disgust,anticipation,sadness,anticipation,disgust,disgust,sadness,disgust,Neutral
