Word,Valence,Arousal,Dominance,P_2D_Polar,P_Euclidean,P_Cosine,P_2D_Euclidean,IO2_2D_Polar,IO2_Euclidean,IO2_Cosine,IO2_2D_Euclidean,Valence_Category
개미핥기,6.26,2.41,4.27,anticipation,anticipation,trust,trust,anxiety,ennui,joy,ennui,Positive
전복,5.3,2.65,4.95,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
버리다,2.84,3.73,3.32,disgust,sadness,disgust,sadness,disgust,sadness,disgust,sadness,Negative
포기,2.63,4.95,2.64,sadness,fear,fear,disgust,disgust,embarrassment,embarrassment,anxiety,Negative
대사원,5.85,2.2,5.0,anger,trust,trust,trust,anxiety,ennui,joy,ennui,Neutral
복부,5.43,3.68,5.15,anger,anticipation,joy,anticipation,anxiety,ennui,joy,ennui,Neutral
복부,4.48,3.5,5.32,anger,disgust,trust,disgust,anger,ennui,ennui,ennui,Neutral
납치,2.42,5.9,2.75,sadness,fear,fear,anger,sadness,embarrassment,fear,anger,Negative
외 전,2.05,5.33,3.02,sadness,fear,fear,anger,sadness,embarrassment,fear,anxiety,Negative
머물다,5.52,3.26,5.33,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
준수,5.57,3.59,6.6,anger,trust,trust,trust,anxiety,ennui,ennui,ennui,Neutral
능력,7.0,4.85,6.55,joy,trust,joy,trust,joy,joy,joy,joy,Positive
비열한,4.0,3.94,4.35,disgust,disgust,anticipation,disgust,anger,ennui,ennui,ennui,Neutral
불타는,5.15,6.75,4.58,fear,anticipation,anticipation,anticipation,fear,envy,embarrassment,envy,Neutral
할 수 있는,6.64,3.38,6.17,anticipation,trust,trust,trust,ennui,joy,joy,ennui,Positive
이상,3.53,4.48,4.7,sadness,disgust,disgust,disgust,disgust,disgust,disgust,disgust,Negative
이상,3.05,5.0,3.96,sadness,disgust,disgust,disgust,disgust,anxiety,anxiety,disgust,Negative
주소,5.28,2.9,5.05,anger,anticipation,trust,trust,anxiety,ennui,joy,ennui,Neutral
